|datasheet_id|line|button|description|Unnamed: 4
27|24|1|•|"Any number of models can each have their kustom shoota and power klaw replaced with one of the following:<ul style=""list-style-type:circle""><li>1 kombi-weapon and 1 power klaw</li><li>1 kombi-weapon and 1 killsaw</li><li>1 kustom shoota and 1 killsaw</li><li>1 killsaw and 1 power klaw</li><li>1 twin killsaw</li></ul>"|
28|25|1|•|"The Boss Nob’s choppa can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 big choppa</li><li>1 power klaw</li></ul>"|
29|25|2|•|Up to 2 Kommandos can each have their slugga and choppa replaced with 1 speshul Kommando shoota and 1 close combat weapon.|
30|25|3|•|1 Kommando’s slugga and choppa can be replaced with 1 breacha ram.|
31|25|4|•|1 Kommando’s slugga and choppa can be replaced with 1 burna and 1 close combat weapon.|
32|25|5|•|1 Kommando’s slugga and choppa can be replaced with 1 rokkit launcha and 1 close combat weapon.|
33|25|6|•|This unit can be equipped with 1 bomb squig.|
34|25|7|•|This unit can be equipped with 1 distraction grot.|
35|26|1|•|This model can be equipped with 1 wreckin’ ball.|
36|27|1|•|The Boss Nob’s choppa can be replaced with 1 power klaw.|
37|28|1|•|For every 3 models in this unit, 1 Deffkopta can have its kopta rokkits replaced with 1 kustom mega-blasta.|
38|29|1|•|This model can be equipped with 1 additional twin supa-shoota.|
39|30|1|•|This model can be equipped with 1 skorcha missile rack.|
40|32|1|•|This model’s twin wazbom mega-kannon can be replaced with 1 twin tellyport mega-blasta.|
41|32|2|•|This model can be equipped with 1 blastajet force field.|
42|32|3|•|This model can be equipped with 1 twin supa-shoota.|
43|33|1|•|"Each Warbiker can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 slugga</li><li>1 choppa</li></ul>"|
44|33|2|•|"The Boss Nob on Warbike can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 slugga</li><li>1 big choppa</li><li>1 power klaw</li></ul>"|
45|34|1|•|Any number of models can each have their twin big shoota replaced with 1 rack of rokkits.|
46|35|1|•||
47|36|1|•|Any number of models can each have their twin big shoota replaced with 1 rack of rokkits.|
48|37|1|•|"Any number of models can each have their kannon replaced with one of the following:<ul style=""list-style-type:circle""><li>1 lobba</li><li>1 zzap gun</li></ul>"|
49|38|1|•|"Each model’s smasha gun can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 bubblechukka</li><li>1 kustom mega-kannon</li><li>1 traktor kannon</li></ul>"|
50|39|1|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 kannon</li><li>1 killkannon</li><li>1 zzap gun</li></ul>"|
51|39|2|•|"This model can be equipped with:<ul style=""list-style-type:circle""><li>1 lobba</li></ul>"|
52|39|3|•|This model can be equipped with up to 4 big shootas.|
53|39|4|•|This model’s tracks and wheels can be replaced with 1 deff rolla.|
54|39|5|•|"This model can be equipped with any of the following:<ul style=""list-style-type:circle""><li>1 ’ard case</li><li>1 grabbin’ klaw</li><li>1 wreckin’ ball</li></ul>"|
55|40|1|•|"This model’s big shootas can each be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 dread klaw</li><li>1 kustom-mega blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>"|
56|40|2|•|"This model’s dread klaws can each be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 big shoota</li><li>1 kustom-mega blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>"|
57|41|1|•|"Each Killa Kan’s Kan shoota can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 grotzooka</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>"|
58|44|1|•|"Any number of Spanners can each have their big shoota replaced with one of the following:<ul style=""list-style-type:circle""><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li></ul>"|
59|45|1|•|This unit can be equipped with 1 ammo runt.|
60|49|1|•|"Any number of models can each have their big shoota replaced with one of the following:<ul style=""list-style-type:circle""><li>1 grotzooka</li><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>"|
61|49|2|•|"For every four models in this unit, one model can be equipped with one of the following in addition to any other weapons:<ul style=""list-style-type:circle""><li>1 Grot tank shoota</li><li>1 grotzooka</li><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>"|
62|50|1|•|"This model’s twin big shoota can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 twin grotzooka</li><li>1 twin kustom mega-blasta</li><li>1 twin rokkit launcha</li><li>1 twin skorcha</li></ul>"|
63|50|2|•|"This model’s twin grotzooka can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 twin big shoota</li><li>1 twin kustom mega-blasta</li><li>1 twin rokkit launcha</li><li>1 twin skorcha</li></ul>"|
64|51|1|•|This model can be equipped with 1 kannon.|
65|52|1|•|"This model’s killkannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 dread killsaw</li><li>1 dread rippa klaw</li></ul>"|
66|52|2|•|"This model’s dread rippa klaw can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 dread killsaw</li><li>1 killkannon</li></ul>"|
67|53|1|•|This model’s tracks and wheels can be replaced with 1 deff rolla.|
68|53|2|•|This model can be equipped with 1 grabbin’ klaw.|
69|53|3|•|This model can be equipped with 1 wreckin’ ball.|
70|53|4|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 big shoota</li><li>2 big shootas</li><li>1 big shoota and 1 rokkit launcha</li><li>1 rokkit launcha</li><li>2 rokkit launchas</li></ul>"|
71|54|1|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 kannon</li><li>1 supa-kannon</li></ul>"|
72|55|1|•|This model can be equipped with up to 3 big shootas.|
73|56|1|•|This model’s bursta kannon can be replaced with 1 giga shoota.|
74|57|1|•|This model can be equipped with up to 2 big bomms.|
75|57|2|•|"This model’s big shoota can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 kustom mega-blasta</li><li>1 rokkit launcha</li><li>1 skorcha</li></ul>"|
76|57|3|•|This model’s 2 deffguns can be replaced with 2 rattler kannons.|
77|59|1|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 kannon</li><li>1 supa-kannon</li></ul>"|
78|61|1|•|"The Assault Sergeant’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li></ul>"|
79|61|2|•|"The Assault Sergeant’s Astartes chainsword can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>"|
80|61|3|•|"The Assault Sergeant can do one of the following:<ul style=""list-style-type:circle""><li>Replace its bolt pistol and Astartes chainsword with 1 twin lightning claws.</li><li>Be equipped with 1 Astartes shield.</li></ul>"|
81|61|4|•|"Up to 2 Assault Marines can each have their bolt pistol and Astartes chainsword replaced with one of the following:<ul style=""list-style-type:circle""><li>1 plasma pistol and 1 Astartes chainsword</li><li>1 flamer and 1 close combat weapon</li><li>1 meltagun and 1 close combat weapon</li><li>1 plasma gun and 1 close combat weapon</li></ul>"|
82|61|5|•|For every 5 models in this unit, 1 model’s Astartes chainsword can be replaced with 1 eviscerator.|
83|63|1|•||
84|64|1|•|"The Assault Sergeant with Jump Pack’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li></ul>"|
85|64|2|•|"The Assault Sergeant with Jump Pack’s Astartes chainsword can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>"|
86|64|3|•|"The Assault Sergeant with Jump Pack can do one of the following:<ul style=""list-style-type:circle""><li>Replace its bolt pistol and Astartes chainsword with 1 twin lightning claws.</li><li>Be equipped with 1 Astartes shield.</li></ul>"|
87|64|4|•|"Up to 2 Assault Marines with Jump Packs can each have their bolt pistol and Astartes chainsword replaced with one of the following:<ul style=""list-style-type:circle""><li>1 plasma pistol and 1 Astartes chainsword</li><li>1 flamer and 1 close combat weapon</li><li>1 meltagun and 1 close combat weapon</li><li>1 plasma gun and 1 close combat weapon</li></ul>"|
88|64|5|•|For every 5 models in this unit, 1 model’s Astartes chainsword can be replaced with 1 eviscerator.|
89|65|1|•|This model can be equipped with 1 hunter-killer missile.|
90|65|2|•|This model can be equipped with 1 multi-melta.|
91|65|3|•|This model can be equipped with 1 storm bolter.|
92|66|1|•|This model can be equipped with 1 hunter-killer missile.|
93|66|2|•|This model can be equipped with 1 multi-melta.|
94|66|3|•|This model can be equipped with 1 storm bolter.|
95|67|1|•|This model can be equipped with 1 hunter-killer missile.|
96|67|2|•|This model can be equipped with 1 storm bolter.|
97|67|3|•|This model can be equipped with 1 multi-melta.|
98|67|4|•|This model can be equipped with 1 combi-weapon.|
99|70|1|•|"1 Tactical Marine’s boltgun can be replaced with one of the following:<br><ul style=""list-style-type:circle""><li>1 flamer</li><li>1 heavy bolter</li><li>1 grav-cannon</li><li>1 grav-gun</li><li>1 lascannon</li><li>1 meltagun</li><li>1 missile launcher</li><li>1 multi-melta</li><li>1 plasma cannon</li><li>1 plasma gun</li></ul>"|
100|70|2|•|"1 Tactical Marine’s boltgun can be replaced with one of the following:<br><ul style=""list-style-type:circle""><li>1 flamer</li><li>1 grav-gun</li><li>1 meltagun</li><li>1 plasma gun</li></ul>"|
101|70|3|•|"The Tactical Sergeant’s bolt pistol and boltgun can be replaced with 1 twin lightning claws, or two different weapons from the following list:* <br><ul style=""list-style-type:circle""><li>1 Astartes chainsword</li><li>1 bolt pistol</li><li>1 boltgun</li><li>1 combi-weapon</li><li>1 grav-pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>"|
102|70|4|*| * This model can only be equipped with two ranged weapons if one of them is a Pistol (and it can only have one Pistol).|
103|71|1|•|"The Bladeguard Veteran Sergeant’s heavy bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 neo-volkite pistol</li><li>1 plasma pistol</li></ul>"|
104|72|1|•||
105|73|1|•|"This model’s bolt pistol, master-crafted bolter and close combat weapon can be replaced with one of the following: <br><ul style=""list-style-type:circle""><li>1 heavy bolt pistol and 1 power fist </li><li>1 heavy bolt pistol and 1 master-crafted power weapon </li><li>1 neo-volkite pistol and 1 power fist </li><li>1 neo-volkite pistol and 1 master-crafted power weapon </li><li>1 plasma pistol and 1 power fist </li><li>1 plasma pistol and 1 master-crafted power weapon </li><li>1 heavy bolt pistol, 1 master-crafted power weapon and 1 relic shield</li></ul>"|
106|73|2|•|"This model’s close combat weapon can be replaced with one of the following: <br><ul style=""list-style-type:circle""><li>1 master-crafted power weapon </li><li>1 power fist</li></ul>"|
107|79|1|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 combi-weapon</li><li>1 storm bolter</li></ul>"|
108|83|1|•|"This model’s heavy bolt pistol can be replaced with one of the following: <br><ul style=""list-style-type:circle""><li>1 plasma pistol </li><li>1 hand flamer </li></ul>"|
109|83|2|•|"This model’s Astartes chainsword can be replaced with one of the following: <br><ul style=""list-style-type:circle""><li>1 power fist </li><li>1 relic weapon</li></ul>"|
110|83|3|•|This model’s heavy bolt pistol and Astartes chainsword can be replaced with 1 thunder hammer and 1 relic shield.|
111|84|1|•|"This model’s skyhammer missile launcher can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 twin heavy bolter</li><li>1 typhoon missile launcher</li></ul>"|
112|84|2|•|This model’s las-talon can be replaced with 1 Icarus stormcannon.|
113|85|1|•|This model can be equipped with 1 hunter-killer missile.|
114|86|1|•|Any number of models can each have their twin Firestrike las-talon replaced with 1 twin Firestrike autocannon.|
115|92|1|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>2 heavy bolters</li><li>2 lascannons</li></ul>"|
116|92|2|•|This model can be equipped with 1 hunter-killer missile.|
117|92|3|•|This model can be equipped with 1 storm bolter.|
118|93|1|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>2 heavy bolters</li><li>2 lascannons</li></ul>"|
119|93|2|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 heavy bolter</li><li>1 heavy flamer</li><li>1 multi-melta</li><li>1 storm bolter</li></ul>"|
120|95|1|•||
121|96|1|•||
122|97|1|•|This model’s Hammerfall heavy bolter array can be replaced with 1 Hammerfall heavy flamer array.|
123|98|1|•|This model’s twin heavy bolter replaced with 1 twin lascannon.|
124|99|1|•||
125|103|1|•|For every 3 models in this unit, 1 Eradicator’s melta rifle can be replaced with 1 multi-melta.|
126|104|1|•|"The Relic Terminator Sergeant’s combi-bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 plasma blaster</li><li>1 volkite charger</li></ul>"|
127|104|2|•|"For every 5 models in this unit, 1 Relic Terminator’s combi-bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy flamer</li><li>1 reaper autocannon</li></ul>"|
128|104|3|•|For every 5 models in this unit, 1 model can be equipped with 1 grenade harness.|
129|104|4|•|Any number of models can each have their power fist replaced with 1 power weapon.|
130|104|5|•|Any number of models can each have their power fist replaced with one 1 chainfist.|
131|104|6|•|Any number of models can each have their combi-bolter and power fist replaced with 1 twin lightning claws.|
132|107|1|•|This model’s javelin missile launcher can be replaced with 2 lascannons|
133|107|2|•|This model’s heavy bolter can be replaced with 1 multi-melta.|
134|107|3|•|This model can be equipped with up to 2 hunter-killer missiles.|
135|110|1|•|"This model’s quad heavy bolter can be replaced with one of the following<ul style=""list-style-type:circle""><li>1 graviton cannon</li><li>1 laser destroyer</li><li>1 quad launcher</li></ul>"|
136|111|1|•|"This model’s 2 twin heavy bolters can be replaced with one of the following:<ul style=""list-style-type:circle""><li>2 assault cannons</li><li>2 Dreadnought inferno cannons</li><li>2 heavy plasma cannons</li><li>2 missile launchers</li><li>2 multi-meltas</li><li>2 twin autocannons</li><li>2 twin lascannons</li></ul>"|
137|112|1|•|"This model’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 boltgun</li><li>1 combi-weapon</li><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li></ul>"|
138|113|1|•|"This model’s twin heavy bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 twin multi-melta</li><li>1 typhoon missile launcher</li></ul>"|
139|113|2|•|This model’s 2 twin hellstrike missile launchers can be replaced with 2 twin lascannons|
140|115|1|•|This model’s storm bolter can be replaced with 1 relic shield.|
141|116|1|•|"The Biker Sergeant’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Astartes chainsword</li><li>1 boltgun</li><li>1 combi-weapon</li><li>1 hand flamer</li><li>1 grav-pistol</li><li>1 inferno pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>"|
142|116|2|•|Any number of Space Marine Bikers can each have their bolt pistol replaced with 1 Astartes chainsword.|
143|116|3|•|"Up to 2 Space Marine Bikers can each have their bolt pistol replaced with one of the following:<ul style=""list-style-type:circle""><li>1 flamer</li><li>1 grav-gun</li><li>1 meltagun</li><li>1 plasma gun</li><li>1 plasma pistol</li></ul>"|
144|116|4|•|An Attack Bike’s heavy bolter can be replaced with 1 multi-melta.  |
145|117|1|•|"This model’s assault cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy plasma cannon</li><li>1 multi-melta</li><li>1 twin lascannon</li></ul>"|
146|117|2|•|"This model’s Dreadnought combat weapon and storm bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 missile launcher and 1 close combat weapon</li><li>1 heavy flamer and 1 Dreadnought combat weapon</li></ul>"|
147|118|1|•|Any number of models can each have their thunder hammer and storm shield replaced with 1 twin lightning claws.|
148|120|1|•|"This model’s assault cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy plasma cannon</li><li>1 multi-melta</li><li>1 twin autocannon</li><li>1 twin heavy bolter</li><li>1 twin heavy flamer</li><li>1 twin lascannon</li><li>1 Dreadnought inferno cannon</li></ul>"|
149|120|2|•|"This model’s storm bolter and Dreadnought combat weapon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy flamer and 1 Dreadnought combat weapon</li><li>1 missile launcher</li><li>1 twin autocannon </li></ul>"|
150|122|1|•||
151|123|1|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>2 heavy bolters</li><li>2 lascannons</li></ul>"|
152|123|2|•|This model can be equipped with 1 hunter-killer missile.|
153|123|3|•|This model can be equipped with 1 storm bolter.|
154|125|1|•|All models in this unit can each have their assault bolters replaced with 1 plasma exterminators.|
155|128|1|•|1 Infiltrator can be equipped with 1 helix gauntlet.*|
156|128|2|•|1 Infiltrator can be equipped with 1 Infiltrator comms array.*|
157|128|3|*|* These options cannot be taken on the same model.|
158|129|1|•|This model’s twin heavy bolter can be replaced with 1 twin lascannon.|
159|129|2|•|This model can be equipped with 1 hunter-killer missile.|
160|129|3|•|This model can be equipped with 1 storm bolter.|
161|131|1|•|"Each of this model’s grav-flux bombards can be replaced with one of the following<ul style=""list-style-type:circle""><li>1 cyclonic melta lance</li><li>1 storm cannon</li><li>1 meltagun and 1 Leviathan siege claw</li><li>1 meltagun and 1 Leviathan siege drill</li></ul>"|
162|131|2|•|This model’s 2 heavy flamers can be replaced with 2 twin volkite calivers.|
163|131|3|•|This model can be equipped with 3 hunter-killer missiles.|
164|132|1|•||
165|134|1|•|"Up to 2 models can each have their Servitor servo-arm replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy bolter and 1 close combat weapon</li><li>1 multi-melta and 1 close combat weapon</li><li>1 plasma cannon and 1 close combat weapon</li></ul>"|
166|135|1|•|This model’s storm bolter can be replaced with 1 combi-weapon|
167|135|2|•|This model’s relic weapon can be replaced with 1 relic fist|
168|136|1|•|This model’s twin heavy bolter can be replaced with 1 twin multi-melta.|
169|136|2|•|This model’s Brutalis fists and Brutalis bolt rifles can be replaced with 1 Brutalis talons.|
170|137|1|•|"The Scout Biker Sergeant’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Astartes chainsword</li><li>1 boltgun</li><li>1 combi-weapon</li><li>1 hand flamer</li><li>1 grav-pistol</li><li>1 inferno pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>"|
171|137|2|•|Any number of models can each have their twin boltgun replaced with 1 Astartes grenade launcher.|
172|139|1|•|This model’s Thunderhawk heavy cannon can be replaced with 1 turbo-laser destructor.|
173|139|2|•|This model’s Thunderhawk cluster bombs can be replaced with 1 hellstrike missile battery.|
174|146|1|•|This model can be equipped with 1 hunter-killer missile.|
175|146|2|•|This model can be equipped with 1 storm bolter.|
176|147|1|•|"Any number of models can each have their bolt pistol replaced one of the following:<ul style=""list-style-type:circle""><li>1 storm shield</li><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li></ul>"|
177|148|1|•||
178|152|1|•||
179|153|1|•||
180|154|1|•|"This model’s storm bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy flamer</li><li>1 meltagun</li></ul>"|
181|159|1|•|"This model’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 boltgun</li><li>1 combi-weapon</li><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li></ul>"|
182|159|2|•|"This model’s Astartes chainsword can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>"|
183|160|1|•||
184|165|1|•|Any number of models can each have their encarmine blade replaced with 1 encarmine spear.|
185|165|2|•|For every 3 models in this unit, 1 model’s Angelus boltgun can be replaced with 1 inferno pistol.|
186|165|3|•|One model can be equipped with 1 Sanguinary banner.|
187|166|1|•|This model’s twin heavy bolter can be replaced with 1 twin multi-melta.|
188|166|2|•|This model's blood fists and blood fist bolt rifles can be replaced with 1 blood talons.|
189|167|1|•|"This model’s heavy frag cannon and Furioso fist can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Blood Talons and 1 meltagun</li><li>1 twin Furioso fist and 1 meltagun</li></ul>"|
190|167|2|•|This model’s storm bolter can be replaced with 1 heavy flamer.|
191|167|3|•|This model’s meltagun can be replaced with 1 heavy flamer.|
192|167|4|•|This model can be equipped with 1 magna-grapple.|
193|168|1|•|This model's twin assault cannon can be replaced with 1 Baal flamestorm cannon.|
194|168|2|•|This model can be equipped with 1 hunter-killer missile.|
195|168|3|•|This model can be equipped with 1 storm bolter.|
196|168|4|•|"This model can be equipped with one of the following<ul style=""list-style-type:circle""><li>2 heavy bolters</li><li>2 heavy flamers</li></ul>"|
197|169|1|•||
198|230|1|•|Any number of Deathwing Terminators can each have their power fist replaced with 1 chainfist.|
199|230|2|•|"For every 5 models in this unit, 1 Deathwing Terminator can replace its storm bolter with one of the following:<ul style=""list-style-type:circle""><li>1 assault cannon</li><li>1 heavy flamer</li><li>1 plasma cannon</li><li>1 storm bolter and 1 cyclone missile launcher (this model’s storm bolter cannot be replaced)</li></ul>"|
200|230|3|•|This unit can be equipped with 1 Watcher in the Dark.|
201|231|1|•|The Knight Master’s great weapon of the Unforgiven can be replaced with 1 relic weapon.|
202|231|2|•|All Deathwing Knights in this unit can each have their mace of absolution replaced with 1 power weapon. |
203|231|3|•|This unit can be equipped with 1 Watcher in the Dark.|
204|238|1|•|This model’s heavy bolter can be replaced with 1 assault cannon.|
205|239|1|•|This model’s avenger mega bolter can be replaced with 1 Nephilim lascannons.|
206|241|1|•|For every 3 models in this unit, 1 model can replace its plasma talon with 1 Astartes grenade launcher.|
207|242|1|•|This model’s heavy bolter can be replaced with 1 assault cannon.|
208|243|1|•|This model can be equipped with up to 4 heavy bolters.|
209|283|1|•||
210|284|1|•|"This model’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 combi-weapon</li><li>1 master-crafted boltgun</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li><li>1 relic weapon</li><li>1 thunder hammer</li></ul>"|
211|284|2|•|"This model’s relic weapon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 plasma pistol</li><li>1 power fist</li><li>1 thunder hammer</li><li>1 relic shield and 1 close combat weapon</li></ul>"|
212|284|3|•|This model’s bolt pistol and relic weapon can be replaced with 1 twin lightning claws.|
213|286|1|•||
214|287|1|•||
215|288|1|•||
216|300|1|•|"This model’s power weapon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 chainfist</li><li>1 power fist</li><li>1 relic shield and 1 close combat weapon</li><li>1 thunder hammer</li></ul>"|
217|300|2|•|This model’s storm bolter and power weapon can be replaced with 1 twin lightning claws.|
218|300|3|•|"This model’s storm bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 chainfist</li><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li><li>1 combi-weapon</li></ul>"|
219|301|1|•|This model’s bolt pistol and relic weapon can be replaced with 1 twin lightning claws.|
220|301|2|•|"This model’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 combi-weapon</li><li>1 master-crafted boltgun</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li><li>1 relic weapon</li><li>1 thunder hammer</li></ul>"|
221|301|3|•|"This model’s relic weapon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 plasma pistol</li><li>1 power fist</li><li>1 thunder hammer</li><li>1 storm shield and 1 close combat weapon</li></ul>"|
222|302|1|•|"This model’s assault cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>Helfrost cannon</li><li>Multi-melta</li></ul>"|
223|303|1|•|The Blood Claw Pack Leader’s bolt pistol can be replaced with 1 plasma pistol.|
224|303|2|•|The Blood Claw Pack Leader’s Astartes chainsword can be replaced with 1 power weapon.|
225|304|1|•||
226|305|1|•|The Grey Hunter Pack Leader’s bolt carbine can be replaced with 1 plasma pistol.|
227|305|2|•|"The Grey Hunter Pack Leader’s Astartes chainsword can be replaced with one of the following<ul style=""list-style-type:circle""><li>1 power fist</li><li>1 power weapon</li></ul>"|
228|308|1|•|"This model’s boltgun can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 bolt pistol</li><li>1 helfrost pistol</li></ul>"|
