|datasheet_id|line|ability_id|model|name|description|type|parameter|Unnamed: 8
53|12|4|||Mekaniak|"At the end of your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>, you can select one friendly <span class=""tooltip00291"" data-tooltip-content=""#tooltip_content00291"" data-tooltip-anchor=""#tooltip_content00291""><span class=""kwb"">ORKS</span> <span class=""kwb"">VEHICLE</span></span> model within 3"" of this model. That <span class=""kwb"">VEHICLE</span> model regains up to D3 lost wounds, and, until the start of your next Movement phase, each time that <span class=""kwb"">VEHICLE</span> model makes an attack, add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>. Each model can only be selected for this ability once per turn."|Datasheet||
54|13|1|8346.0||||Core||
55|13|2|3676.0||||Faction||
56|13|3|||Grot Orderly|"Once per battle, in your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>, if the bearer is leading a unit that is below its <a href=""/wh40k10ed/the-rules/core-rules/#Starting-Strength"">Starting Strength</a>, you can return up to D3 destroyed <a href=""/wh40k10ed/the-rules/core-rules/#Attached-Units"">Bodyguard</a> models to that unit.<br><br><b>Designer’s Note:</b> <i>Place a Grot Orderly token next to the unit, removing it once this ability has been used</i>"|Wargear||
57|13|4|||Dok’s Toolz|"While this model is leading a unit, models in that unit have the <span class=""tooltip00073"" data-tooltip-content=""#tooltip_content00073""><span class=""tt kwbu"">Feel</span> <span class=""tt kwbu"">No</span> <span class=""tt kwbu"">Pain</span></span> 5+ ability."|Datasheet||
58|13|5|||Hold Still and Say ‘Aargh!’|"Each time an attack made by this model with its ’urty syringe scores a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Critical Wound</a> against a unit (excluding <span class=""kwb"">VEHICLE</span> units), that unit suffers D6 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>."|Datasheet||
59|14|1|8346.0||||Core||
60|14|2|3676.0||||Faction||
61|14|3|||Dok’s Toolz|"While this model is leading a unit, models in that unit have the <span class=""tooltip00073"" data-tooltip-content=""#tooltip_content00073""><span class=""tt kwbu"">Feel</span> <span class=""tt kwbu"">No</span> <span class=""tt kwbu"">Pain</span></span> 5+ ability."|Datasheet||
62|14|4|||Hold Still and Say ‘Aargh!’|"Each time an attack made by this model with its ’urty syringe scores a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Critical Wound</a> against a unit (excluding <span class=""kwb"">VEHICLE</span> units), that unit suffers D6 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>."|Datasheet||
63|15|1|8338.0||||Core|5+|
64|15|2|8346.0||||Core||
65|15|3|3676.0||||Faction||
66|15|4|||Mad Dok|"While this model is leading a unit, models in that unit have the <span class=""tooltip00073"" data-tooltip-content=""#tooltip_content00073""><span class=""tt kwbu"">Feel</span> <span class=""tt kwbu"">No</span> <span class=""tt kwbu"">Pain</span> <span class=""tt kwbu"">5+</span></span> ability."|Datasheet||
67|15|5|||One Scalpel Short of a Medpack|"While this model is leading a unit, that unit is eligible to <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">declare a charge</a> in a turn in which it <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fell Back</a>."|Datasheet||
68|16|1|3676.0||||Faction||
69|16|2|||Get Da Good Bitz|"At the end of your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>, if this unit is within range of an <a href=""/wh40k10ed/the-rules/core-rules/#Objective-Markers"">objective marker</a> you control, that objective marker remains under your control, even if you have no models within range of it, until your opponent controls it at the start or end of any turn."|Datasheet||
70|16|3|||BODYGUARD|"If this unit has a <a href=""/wh40k10ed/the-rules/core-rules/#Starting-Strength"">Starting Strength</a> of 20, you can attach up to two <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Leader</a> units to it instead of one (but only if one of those is a <span class=""tooltip00292"" data-tooltip-content=""#tooltip_content00292"" data-tooltip-anchor=""#tooltip_content00292""><span class=""kwb"">WARBOSS</span></span> unit). If you do, and this unit is destroyed, the Leader units attached to it become separate units with their original <a href=""/wh40k10ed/the-rules/core-rules/#Starting-Strength"">Starting Strengths</a>."|Special (правая колонка)||
71|17|1|3676.0||||Faction||
72|17|2|||Runtherd|While this unit contains one or more Gretchin models, each time an attack targets this unit, Runtherd models in this unit have a Toughness characteristic of 2.|Datasheet||
73|17|3|||Thievin’ Scavengers|"At the start of your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>, roll one D6 for each <a href=""/wh40k10ed/the-rules/core-rules/#Objective-Markers"">objective marker</a> you control that has one or more units from your army with this ability within range of it (excluding <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shocked</a> units). If one or more of those rolls is a 4+, you gain 1CP."|Datasheet||
74|19|1|3676.0||||Faction||
75|19|2|||Pyromaniaks|"Each time a model in this unit makes a ranged attack with a burna that targets an enemy unit within 6"", re-roll a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a> of 1. If the target of that attack is also within range of an <a href=""/wh40k10ed/the-rules/core-rules/#Objective-Markers"">objective marker</a>, you can re-roll the Wound roll instead."|Datasheet||
76|20|1|3676.0||||Faction||
77|20|2|||Tank Hunters|"Each time a model in this unit makes a ranged attack that targets a <span class=""kwb"">MONSTER</span> or <span class=""kwb"">VEHICLE</span> unit, add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> and add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a>."|Datasheet||
78|20|3|||Bomb Squigs|"Once per battle, for each bomb squig this unit has, after this unit ends a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal move</a>, you can use one Bomb Squig. If you do, select one enemy unit within 12"" and <a href=""/wh40k10ed/the-rules/core-rules/#Determining-Visibility"">visible</a> to this unit and roll one D6: on a 3+, that enemy unit suffers D3 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>.<br><br><b>Designer’s Note:</b> <i>Place two Bomb Squig tokens next to the unit, removing one each time this unit uses this ability.</i>"|Datasheet||
79|20|4|||Pulsa Rokkit|"Once per battle, when the bearer’s unit is selected to shoot in your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>, the bearer can use its pulsa rokkit. If it does, until the end of the phase, improve the Strength and Armour Penetration characteristics of ranged weapons equipped by models in the bearer’s unit by 1."|Wargear||
80|20|5|||ATTACHED UNIT|"If a <span class=""tooltip00293"" data-tooltip-content=""#tooltip_content00293"" data-tooltip-anchor=""#tooltip_content00293""><span class=""kwb"">CHARACTER</span></span> unit from your army with the <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Leader</a> ability can be <a href=""/wh40k10ed/the-rules/core-rules/#Attached-Units"">attached</a> to a <a class=""kwbOne"" href=""/wh40k10ed/factions/orks/Lootas""><span class=""kwb kwbo"">LOOTAS</span></a> unit, it can be attached to this unit instead."|Fortification (левая колонка)||
81|21|1|3676.0||||Faction||
82|21|2|||Da Boss’ Ladz|"While a <span class=""tooltip00292"" data-tooltip-content=""#tooltip_content00292"" data-tooltip-anchor=""#tooltip_content00292""><span class=""kwb"">WARBOSS</span></span> model is leading this unit, each time an attack targets this unit, if the Strength characteristic of that attack is greater than the Toughness characteristic of this unit, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a>."|Datasheet||
83|21|3|||Ammo Runt|"Once per battle for each ammo runt this unit has, when this unit is selected to shoot, it can use this ability. If it does, until the end of the phase, ranged weapons equipped by models in this unit have the <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Lethal-Hits"">[LETHAL HITS]</a></span> ability.<br><br><b>Designer’s Note:</b> <i>Place the relevant number of Ammo Runt tokens next to the unit, removing one each time the unit uses this ability.</i>"|Wargear||
84|22|1|8346.0||||Core||
85|22|2|3676.0||||Faction||
86|22|3|||Plant the Waaagh! Banner|"Once per battle, at the start of the <a href=""/wh40k10ed/the-rules/core-rules/#The-Battle-Round"">battle round</a>, this model can use this ability. If it does, until the start of the next battle round, this model’s unit gains the benefits of the <span class=""tooltip00290"" data-tooltip-content=""#tooltip_content00290""><span class=""tt kwbu"">Waaagh!</span></span> ability as if you had called a Waaagh! this battle round."|Datasheet||
87|22|4|||Da Boss Iz Watchin’|"While this model is gaining the benefits of the <span class=""tooltip00290"" data-tooltip-content=""#tooltip_content00290""><span class=""tt kwbu"">Waaagh!</span></span> ability, it has a 4+ <a href=""/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves"">invulnerable save</a> and an Objective Control characteristic of 5."|Datasheet||
88|23|1|3676.0||||Faction||
89|23|2|||Drive-by Krumpin'|"Each time this unit <a href=""/wh40k10ed/the-rules/core-rules/#3.-Consolidate"">Consolidates</a>, each model in this unit can move up to 6"" instead of up to 3""."|Datasheet||
90|23|3|||SPEED FREEKS MOB|"If a model from your army with the <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Leader</a> ability can be attached to a <a class=""kwbOne"" href=""/wh40k10ed/factions/orks/Warbikers""><span class=""kwb kwbo"">WARBIKERS</span></a> unit, it can be attached to this unit instead."|Special (правая колонка)||
91|24|1|3676.0||||Faction||
92|24|2|||Krumpin’ Time|"While the <span class=""tooltip00290"" data-tooltip-content=""#tooltip_content00290""><span class=""tt kwbu"">Waaagh!</span></span> is active for your army, models in this unit have the <span class=""tooltip00073"" data-tooltip-content=""#tooltip_content00073""><span class=""tt kwbu"">Feel</span> <span class=""tt kwbu"">No</span> <span class=""tt kwbu"">Pain</span> <span class=""tt kwbu"">5+</span></span> ability."|Datasheet||
93|25|1|8345.0||||Core||
94|25|2|8337.0||||Core||
95|25|3|3676.0||||Faction||
96|25|4|||Distraction Grot|"Once per battle, in your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>, before making a <a href=""/wh40k10ed/the-rules/core-rules/#4.-Saving-Throw"">saving throw</a> for a model in this unit, it can deploy the distraction grot. If it does, until the end of the phase, models in this unit have a 5+ <a href=""/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves"">invulnerable save</a>.<br><br><b>Designer’s Note:</b> <i>Place a Distraction Grot token next to the unit, removing it when this unit uses this ability.</i>"|Wargear||
97|25|5|||Bomb Squigs|"Once per battle, for each bomb squig this unit has, after this unit ends a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal move</a>, you can use one Bomb Squig. If you do, select one enemy unit within 12"" and <a href=""/wh40k10ed/the-rules/core-rules/#Determining-Visibility"">visible</a> to this unit and roll one D6: on a 3+, that enemy unit suffers D3 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>.<br><br><b>Designer’s Note:</b> <i>Place a Bomb Squig token next to the unit, removing it when this unit uses this ability.</i>"|Wargear||
98|25|6|||Sneaky Surprise|"Enemy units cannot use the <a href=""/wh40k10ed/the-rules/test_/#Стратегема"">Fire Overwatch</a> Stratagem to shoot at this unit."|Datasheet||
99|25|7|||PATROL SQUAD|At the start of the Declare Battle Formations step this unit can be split into two units, each containing five models.|Fortification (левая колонка)||
100|26|1|8339.0||||Core|D3|
101|26|2|8334.0||||Core|12|
102|26|3|3676.0||||Faction||
103|26|4|||Grot Riggers|At the start of your Command phase, this model regains 1 lost wound.|Datasheet||
104|27|1|8343.0||||Core||
105|27|2|3676.0||||Faction||
106|27|3|||Full Throttle|"This unit is eligible to <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">declare a charge</a> in a turn in which it <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advanced</a> or <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fell Back</a>."|Datasheet||
107|28|1|8343.0||||Core||
108|28|2|3676.0||||Faction||
109|28|3|||Deff from Above|"Each time this unit ends a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal move</a>, you can select one enemy unit it moved over during that move and roll one D6 for each model in this unit: for each 4+, that enemy unit suffers 1 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>."|Datasheet||
110|29|1|8339.0||||Core|D3|
111|29|2|3676.0||||Faction||
112|29|3|||Dakkastorm|"Each time this model makes a ranged attack, every successful <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> scores a <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Critical Hit</a>."|Datasheet||
113|30|1|8339.0||||Core|D3|
114|30|2|3676.0||||Faction||
115|30|3|||Burna Bomb|"Each time this model ends a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal move</a>, you can select one enemy unit it moved over during that move. Until the end of the turn, models in that unit cannot have the <a href=""/wh40k10ed/the-rules/core-rules/#Benefit-of-Cover"">Benefit of Cover</a>. In addition, roll one D6 for each model in that unit: for each 6, that unit suffers 1 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>."|Datasheet||
116|31|1|8339.0||||Core|D3|
117|31|2|3676.0||||Faction||
118|31|3|||Boom Bomb|"Each time this model ends a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal move</a>, you can select one enemy unit it moved over during that move and roll one D6: on a 4+, that unit suffers D6 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>."|Datasheet||
119|32|1|8339.0||||Core|D3|
120|32|2|3676.0||||Faction||
121|32|3|||Blastajet Attack Run|"Each time this model makes a ranged attack that targets a unit that cannot <span class=""kwb"">FLY</span>, re-roll a <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> of 1."|Datasheet||
122|32|4|||Blastajet Force Field|"The bearer has a 4+ <a href=""/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves"">invulnerable save</a>, but it loses the <a href=""/wh40k10ed/the-rules/test_/#Стратегема"">Grenades</a> keyword."|Wargear||
123|33|1|3676.0||||Faction||
124|33|2|||Drive-by Dakka|"Each time a model in this unit makes a ranged attack that targets a unit within 9"", improve the Armour Penetration characteristic of that attack by 1."|Datasheet||
125|34|1|3676.0||||Faction||
126|34|2|||Drive-by Dakka|"Each time a model in this unit makes a ranged attack that targets a unit within 9"", improve the Armour Penetration characteristic of that attack by 1."|Datasheet||
127|34|3|||SPEED FREEKS|"If a model from your army with the <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Leader</a> ability can be attached to a <a class=""kwbOne"" href=""/wh40k10ed/factions/orks/Warbikers""><span class=""kwb kwbo"">WARBIKERS</span></a> unit, it can be attached to this unit instead."|Special (правая колонка)||
128|35|1|3676.0||||Faction||
129|35|2|||Pyromaniaks|"Each time a model in this unit makes a ranged attack with a <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">Torrent</a> weapon that targets an enemy unit within 6"", re-roll a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a> of 1. If the target of that attack is also within range of an <a href=""/wh40k10ed/the-rules/core-rules/#Objective-Markers"">objective marker</a>, you can re-roll the Wound roll instead."|Datasheet||
130|35|3|||SPEED FREEKS|"If a model from your army with the <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Leader</a> ability can be attached to a <a class=""kwbOne"" href=""/wh40k10ed/factions/orks/Warbikers""><span class=""kwb kwbo"">WARBIKERS</span></a> unit, it can be attached to this unit instead."|Special (правая колонка)||
131|36|1|3676.0||||Faction||
132|36|2|||Outflank|"When this unit arrives from <a href=""/wh40k10ed/the-rules/core-rules/#Strategic-Reserves"">Strategic Reserves</a>, it can be set up within your opponent’s deployment zone (all other restrictions still apply)."|Datasheet||
133|36|3|||SPEED FREEKS|"If a model from your army with the <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Leader</a> ability can be attached to a <a class=""kwbOne"" href=""/wh40k10ed/factions/orks/Warbikers""><span class=""kwb kwbo"">WARBIKERS</span></a> unit, it can be attached to this unit instead."|Special (правая колонка)||
134|37|1|3676.0||||Faction||
135|37|2|||Splat!|"Each time a model in this unit makes a ranged attack that targets a unit containing 10 or more models, re-roll a <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> of 1."|Datasheet||
136|37|3|||BIG GUNZ|<b>Designer’s Note:</b> <i>Place two Grot Crew tokens next to each Mek Gun model when this unit is first set up, removing one each time its Big Gun model loses a wound (a Big Gun model itself is considered to represent its final wound).</i>|Special (правая колонка)||
137|38|1|3676.0||||Faction||
138|38|2|||Splat!|"Each time a model in this unit makes a ranged attack that targets a unit that is at its <a href=""/wh40k10ed/the-rules/core-rules/#Starting-Strength"">Starting Strength</a> (excluding <span class=""kwb"">MONSTERS</span> and <span class=""kwb"">VEHICLES</span>), re-roll a <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> of 1."|Datasheet||
139|38|3|||Bubblechukka|Before selecting targets for one or more models equipped with this weapon, roll one D6 to determine which profile models equipped with this weapon will make attacks with, comparing the result with the numbers shown on the left.|Wargear profile||
140|39|1|8339.0||||Core|D6|
141|39|2|8334.0||||Core|11|
142|39|3|3676.0||||Faction||
143|39|4|||Ramshackle but Rugged|Each time an attack is allocated to this model, worsen the Armour Penetration characteristic of that attack by 1.|Datasheet||
144|39|5|||’Ard Case|"Add 2 to the bearer’s Toughness characteristic, but it no longer has the <a href=""/wh40k10ed/the-rules/core-rules/#Embark"">Firing Deck</a> ability."|Wargear||
145|40|1|8339.0||||Core|1|
146|40|2|3676.0||||Faction||
147|40|3|||Piston-driven Brutality|"Each time this model ends a <a href=""/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit"">Charge move</a>, select one enemy unit within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of it and roll one D6: on a 2-5, that enemy unit suffers D3 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>; on a 6, that enemy unit suffers D3+3 mortal wounds."|Datasheet||
148|40|4|||Dead Choppy|The Attacks characteristic of this weapon is increased by 1 for each additional dread klaw this model is equipped with.|Wargear profile||
149|41|1|8339.0||||Core|1|
150|41|2|3676.0||||Faction||
151|41|3|||Shooty Power Trip|"Each time this unit is selected to shoot, you can roll one D6:<br><ul><li>On a 1-2, this unit suffers D3 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a>.</li><li>On a 3-4, until the end of the phase, add 1 to the Strength characteristic of ranged weapons equipped by models in this unit.</li><li>On a 5-6, until the end of the phase, add 1 to the Attacks characteristic of ranged weapons equipped by models in this unit.</li></ul>"|Datasheet||
152|42|1|8339.0||||Core|D6|
153|42|2|3676.0||||Faction||
