|datasheet_id|line|name|M|T|Sv|inv_sv|inv_sv_descr|W|Ld|OC|base_size|base_size_descr|Unnamed: 13
128|154|1|Librarian Dreadnought|"8"""|9|2+|-||8|6+|3|60mm||
129|155|1|Chief Librarian Mephiston|"7"""|5|2+|5||6|6+|1|40mm||
130|156|1|The Sanguinor|"12"""|4|2+|4||7|6+|1|40mm||
131|157|1|Astorath|"12"""|4|2+|4||5|5+|1|40mm||
132|158|1|Sanguinary Priest|"6"""|4|3+|-||4|6+|1|40mm||
133|159|1|Sanguinary Priest On Bike|"12"""|5|3+|-||5|6+|2|75 x 25mm||
134|160|1|Brother Corbulo|"6"""|4|3+|-||4|6+|1|25mm||
135|164|1|Lemartes|"12"""|4|3+|4||4|5+|1|40mm||
136|165|1|Sanguinary Guard|"12"""|4|2+|4||3|6+|1|40mm||
137|166|1|Death Company Dreadnought|"8"""|10|2+|-||12|6+|4|90mm||
138|167|1|Furioso Dreadnought|"8"""|9|2+|-||8|6+|3|60mm||
139|168|1|Baal Predator|"12"""|10|3+|-||11|6+|3|Use model||
140|169|1|Gabriel Seth|"6"""|4|3+|4||6|6+|1|25mm||
141|218|1|Azrael|"6"""|4|2+|4||6|6+|1|50mm||
142|219|1|Belial|"5"""|5|2+|4||6|6+|1|50mm||
143|225|1|Asmodai|"6"""|4|3+|4||4|5+|1|50mm||
144|226|1|Ezekiel|"6"""|4|2+|4||4|6+|1|25mm||
145|230|1|Deathwing Terminator Squad|"5"""|5|2+|4||3|6+|1|40mm||
146|231|1|Deathwing Knights|"5"""|5|2+|4||4|6+|1|40mm||
147|238|1|Ravenwing Darkshroud|"14"""|8|3+|5||10|6+|3|60mm flying base||
148|239|1|Nephilim Jetfighter|"20+"""|8|3+|5||11|6+|0|120 x 92mm flying base||
149|240|1|Ravenwing Dark Talon|"20+"""|8|3+|5||11|6+|0|120 x 92mm flying base||
150|241|1|Ravenwing Black Knights|"12"""|5|3+|5||3|6+|2|75 x 42mm||
151|242|1|Land Speeder Vengeance|"14"""|8|3+|5||10|6+|3|60mm flying base||
152|243|1|Fortress Of Redemption|-|13|2+|-||30|7+|0|Use model||
153|282|1|Logan Grimnar|"6"""|5|2+|4||8|6+|1|80mm||
154|283|1|Logan Grimnar On Stormrider|"10"""|6|2+|4||12|6+|4|120 x 92mm||
155|284|1|Wolf Lord On Thunderwolf|"10"""|6|3+|4||6|6+|2|60mm||
156|285|1|Ragnar Blackmane|"7"""|4|3+|4||5|6+|1|40mm||
157|286|1|Krom Dragongaze|"6"""|4|3+|4||4|6+|1|32mm||
158|287|1|Harald Deathwolf|"10"""|6|3+|4||7|6+|2|60mm||
159|288|1|Canis Wolfborn|"10"""|6|3+|-||6|6+|2|60mm||
160|292|1|Njal Stormcaller|"7"""|4|3+|4||4|6+|1|40mm||
161|297|1|Ulrik The Slayer|"7"""|4|3+|4||4|5+|1|32mm||
162|300|1|Wolf Guard Battle Leader In Terminator Armour|"5"""|5|2+|4||5|6+|1|40mm||
163|301|1|Wolf Guard Battle Leader On Thunderwolf|"10"""|6|3+|-||5|6+|2|60mm||
164|302|1|Bjorn The Fell-handed|"9"""|9|2+|5||8|6+|3|60mm||
165|303|1|Blood Claws|"7"""|4|3+|-||2|6+|2|32mm||
166|304|1|Lukas The Trickster|"6"""|4|3+|-||4|6+|1|32mm||
167|305|1|Grey Hunters|"7"""|4|3+|-||2|6+|3|32mm||
168|306|1|Iron Priest|"7"""|4|2+|-||4|6+|1|32mm||
169|308|1|Iron Priest On Thunderwolf|"10"""|6|2+|-||5|6+|2|60mm||
170|310|1|Wolf Scouts|"6"""|4|4+|-||2|6+|1|28.5mm||
171|311|1|Wulfen|"9"""|6|4+|-||2|7+|0|40mm||
172|314|1|Murderfang|"9"""|9|2+|-||8|6+|0|60mm||
173|315|1|Wolf Guard|"6"""|4|3+|-||2|5+|1|32mm||
174|317|1|Arjac Rockfist|"6"""|5|2+|4||6|6+|1|50mm||
175|318|1|Wolf Guard Terminators|"6"""|5|2+|4||3|6+|1|40mm||
176|321|1|Stormwolf|"20+"""|10|3+|-||14|6+|0|120 x 92mm flying base||
177|322|1|Thunderwolf Cavalry|"12"""|6|3+|-||4|6+|2|60mm||
178|323|1|Fenrisian Wolves|"10"""|4|6+|-||1|8+|0|40mm||
179|324|1|Skyclaws|"12"""|4|3+|-||2|6+|1|32mm||
180|325|1|Stormfang Gunship|"20+"""|10|3+|-||14|6+|0|120 x 92mm flying base||
181|326|1|Long Fangs|"6"""|4|3+|-||2|6+|1|32mm||
182|358|1|Corvus Blackstar|"20+"""|10|3+|-||14|6+|0|120 x 92mm flying base||
183|373|1|Kaldor Draigo|"5"""|5|2+|4||7|6+|1|40mm||
184|374|1|Grand Master Voldus|"5"""|5|2+|4||7|6+|1|40mm||
185|375|1|Grand Master|"5"""|5|2+|4||7|6+|1|40mm||
186|376|1|Brother-captain|"5"""|5|2+|4||6|6+|1|40mm||
187|377|1|Brother-captain Stern|"5"""|5|2+|4||6|6+|1|40mm||
188|379|1|Brotherhood Champion|"6"""|4|2+|4||4|6+|1|32mm||
189|380|1|Castellan Crowe|"6"""|4|2+|4||5|6+|1|40mm||
190|381|1|Strike Squad|"6"""|4|2+|-||2|6+|2|32mm||
191|382|1|Brotherhood Terminator Squad|"5"""|5|2+|4||3|6+|2|40mm||
192|383|1|Purifier Squad|"6"""|4|2+|-||2|6+|1|32mm||
193|384|1|Paladin Squad|"5"""|5|2+|4||3|6+|1|40mm||
194|387|1|Interceptor Squad|"12"""|4|2+|-||2|6+|1|32mm||
195|388|1|Purgation Squad|"6"""|4|2+|-||2|6+|1|32mm||
196|389|1|Nemesis Dreadknight|"8"""|8|2+|4||13|6+|4|120 x 92mm||
197|390|1|Grey Knights Dreadnought|"6"""|9|2+|-||8|6+|3|60mm||
198|391|1|Land Raider|"10"""|12|2+|-||16|6+|5|Use model||
199|392|1|Land Raider Crusader|"12"""|12|2+|-||16|6+|5|Use model||
200|393|1|Land Raider Redeemer|"12"""|12|2+|-||16|6+|5|Use model||
201|395|1|Razorback|"12"""|9|3+|-||10|6+|2|Use model||
202|396|1|Rhino|"12"""|9|3+|-||10|6+|2|Use model||
203|397|1|Servitors|"6"""|4|4+|6||1|8+|0|25mm||
204|398|1|Stormraven Gunship|"20+"""|10|3+|-||14|6+|0|120 x 92mm flying base||
205|399|1|Brotherhood Techmarine|"6"""|4|2+|-||4|6+|1|32mm||
206|400|1|Venerable Dreadnought|"8"""|9|2+|-||8|6+|3|60mm||
207|402|1|Commander In Coldstar Battlesuit|"12"""|5|3+|-||6|7+|2|60mm||
208|403|1|Tactical Drones|"8"""|3|4+|-||1|7+|0|32mm flying base||
209|404|1|Ethereal|"6"""|3|5+|5||3|6+|1|40mm||
210|405|1|Cadre Fireblade|"6"""|3|4+|-||3|7+|1|25mm||
211|406|1|Commander Farsight|"10"""|5|2+|4||8|6+|2|60mm||
212|407|1|Commander Shadowsun|"10"""|4|3+|5||6|6+|1|50mm||
213|408|1|Aun’shi|"6"""|3|6+|5||3|7+|1|25mm||
214|409|1|AUN’VA|"6"""|3|5+|4||5|7+|1|40mm||
215|409|2|ETHEREAL GUARD|"6"""|3|5+|4||2|7+|1|25mm||
216|410|1|Darkstrider|"7"""|3|4+|-||3|7+|1|32mm||
217|411|1|Strike Team|"6"""|3|4+|-||1|7+|2|25mm||
218|412|1|Breacher Team|"6"""|3|4+|-||1|7+|2|25mm||
219|413|1|Kroot Carnivores|"7"""|3|6+|-||1|7+|2|28.5mm||
220|414|1|Krootox Riders|"7"""|6|5+|-||5|7+|2|50mm||
221|415|1|Kroot Hounds|"12"""|3|6+|-||1|8+|0|28.5mm||
222|417|1|Stealth Battlesuits|"8"""|4|3+|-||2|7+|1|32mm||
223|418|1|Crisis Battlesuits|"10"""|5|3+|-||4|7+|2|50mm||
224|420|1|Ghostkeel Battlesuit|"10"""|8|2+|-||12|7+|3|105 x 70mm||
225|421|1|Riptide Battlesuit|"10"""|9|2+|4||14|7+|4|120 x 92mm||
226|422|1|Pathfinder Team|"7"""|3|4+|-||1|7+|1|25mm||
227|423|1|Piranha|"14"""|7|4+|-||7|7+|2|60mm flying base||
228|424|1|Devilfish|"12"""|9|3+|-||13|7+|2|60mm flying base||
229|425|1|Razorshark Strike Fighter|"20+"""|10|3+|-||12|7+|0|120 x 92mm flying base||
230|426|1|Sun Shark Bomber|"20+"""|9|3+|-||12|7+|0|120 x 92mm flying base||
231|427|1|Vespid Stingwings|"12"""|4|4+|-||1|7+|1|28.5mm||
232|428|1|Firesight Team|"6"""|3|4+|-||4|7+|3|40mm||
233|430|1|Sky Ray Gunship|"10"""|10|3+|-||14|7+|3|60mm flying base||
234|431|1|Longstrike|"10"""|10|3+|-||14|7+|3|60mm flying base||
235|432|1|Hammerhead Gunship|"10"""|10|3+|-||14|7+|3|60mm flying base||
236|433|1|Broadside Battlesuits|"5"""|6|2+|-||8|7+|2|60mm||
237|434|1|Stormsurge|"8"""|11|2+|4||20|7+|6|170 x 109mm||
238|435|1|Tidewall Droneport|"4"""|8|3+|-||10|7+|0|Use model||
239|436|1|Tidewall Shieldline|"4"""|8|3+|5||10|7+|0|Use model||
240|437|1|Tidewall Gunrig|"4"""|8|3+|-||14|7+|0|Use model||
241|439|1|Shas'o R'alai|"8"""|6|3+|4||6|7+|2|65mm||
242|443|1|Xv9 Hazard Battlesuits|"8"""|6|3+|-||4|7+|2|60mm||
243|444|1|Y’vahra Battlesuit|"10"""|9|2+|5||15|7+|4|120 x 92mm||
244|445|1|R’varna Battlesuit|"8"""|10|2+|5||15|7+|4|120 x 92mm||
245|446|1|Ta’unar Supremacy Armour|"8"""|13|2+|5||30|7+|10|160mm||
246|447|1|Tetras|"14"""|7|4+|-||7|7+|2|60mm flying base||
247|448|1|Tx42 Piranha|"14"""|7|4+|-||7|7+|2|60mm flying base||
248|449|1|Heavy Gun Drones|"8"""|5|4+|-||2|8+|0|32mm flying base||
249|452|1|Remora Stealth Drones|"16"""|6|3+|-||5|7+|0|60mm flying base||
250|453|1|Barracuda|"20+"""|10|3+|5||14|7+|0|120 x 92mm flying base||
251|454|1|Tiger Shark|"20+"""|11|3+|5||18|7+|0|160mm||
252|455|1|Ax-1-0 Tiger Shark|"20+"""|11|3+|5||18|7+|0|160mm||
253|456|1|Orca Dropship|"20+"""|12|3+|-||28|7+|0|Use model||
254|457|1|Manta|"20+"""|14|2+|5||60|7+|0|Use model||
255|458|1|Remote Sensor Tower|-|8|4+|-||4|8+|0|Use model||
256|459|1|Drone Sentry Turret|-|8|4+|-||4|8+|0|Use model||
257|460|1|Hive Tyrant|"8"""|10|2+|4||10|7+|3|60mm||
258|461|1|The Swarmlord|"8"""|10|2+|4||10|7+|3|60mm||
259|462|1|Old One Eye|"8"""|9|2+|-||9|8+|3|105 x 70mm||
260|463|1|Broodlord|"8"""|5|4+|4||6|7+|1|75 x 42mm||
261|465|1|Tervigon|"8"""|11|2+|-||16|7+|5|120 x 92mm||
262|467|1|Genestealers|"8"""|4|5+|5||2|7+|1|32mm||
263|468|1|Termagants|"6"""|3|5+|-||1|8+|2|28.5mm||
264|469|1|Hormagaunts|"10"""|3|5+|-||1|8+|2|28.5mm||
265|470|1|Ripper Swarms|"6"""|2|6+|-||4|8+|0|40mm||
266|471|1|Tyrant Guard|"6"""|8|3+|-||4|8+|1|50mm||
267|472|1|Hive Guard|"6"""|7|3+|-||4|8+|1|50mm||
268|473|1|Lictor|"8"""|6|4+|-||6|7+|1|50mm||
269|474|1|Maleceptor|"8"""|11|3+|4||14|7+|4|120 x 92mm||
270|475|1|Zoanthropes|"5"""|5|5+|4||3|7+|1|40mm||
271|476|1|Venomthropes|"6"""|5|4+|-||3|8+|1|40mm||
272|477|1|Pyrovores|"5"""|6|3+|-||5|8+|1|80mm||
273|478|1|Haruspex|"8"""|11|3+|-||14|8+|4|120 x 92mm||
274|479|1|Deathleaper|"8"""|6|3+|4||7|7+|1|60mm||
275|482|1|Raveners|"10"""|5|4+|-||3|8+|1|40mm||
276|483|1|Sky-slasher Swarms|"12"""|2|6+|-||4|8+|0|40mm||
277|484|1|Gargoyles|"12"""|3|6+|-||1|8+|2|32mm flying base||
278|485|1|Harpy|"20+"""|9|3+|-||12|8+|0|120 x 92mm flying base||
279|486|1|Hive Crone|"20+"""|9|3+|-||12|8+|0|120 x 92mm flying base||
280|487|1|Mucolid Spores|"4"""|4|7+|-||3|8+|0|40mm||
281|488|1|Spore Mines|"4"""|1|7+|-||1|8+|0|25mm||
282|489|1|Tyrannocyte|"8"""|9|3+|-||10|8+|2|100mm||
283|490|1|Carnifexes|"8"""|9|2+|-||8|8+|3|105 x 70mm||
284|491|1|Biovores|"5"""|6|3+|-||5|8+|1|80mm||
285|493|1|Trygon|"10"""|10|3+|-||14|8+|4|120 x 92mm||
286|494|1|Mawloc|"10"""|10|3+|-||14|8+|4|120 x 92mm||
287|495|1|Exocrine|"8"""|10|3+|-||14|8+|4|120 x 92mm||
288|496|1|Tyrannofex|"9"""|12|2+|-||16|8+|5|120 x 92mm||
289|497|1|Toxicrene|"8"""|11|3+|-||14|8+|4|120 x 92mm||
290|498|1|Sporocyst|-|10|3+|-||10|8+|0|100mm||
291|499|1|Malanthrope|"6"""|5|4+|-||10|7+|3|60mm||
292|500|1|Dimachaeron|"12"""|10|3+|5||16|7+|5|120 x 92mm||
293|503|1|Barbed Hierodule|"8"""|12|2+|-||18|8+|5|127mm||
294|504|1|Harridan|"20+"""|10|3+|-||30|8+|0|120 x 92mm flying base||
295|505|1|Hierophant|"12"""|14|2+|5||30|8+|12|Use model||
296|506|1|Scythed Hierodule|"12"""|12|2+|-||18|8+|5|127mm||
297|507|1|Patriarch|"8"""|5|4+|4||6|6+|1|50mm||
298|508|1|Magus|"6"""|3|5+|5||4|6+|1|32mm||
299|509|1|Primus|"6"""|3|5+|5||4|6+|1|32mm||
300|510|1|Acolyte Iconward|"6"""|4|5+|-||3|6+|1|32mm||
301|511|1|Acolyte Hybrids|"6"""|4|5+|-||1|7+|2|32mm||
302|512|1|Neophyte Hybrids|"6"""|3|5+|-||1|7+|2|25mm|32mm if equipped with Heavy Mining Weapon|
303|513|1|Hybrid Metamorphs|"6"""|4|5+|-||1|7+|1|32mm||
304|514|1|Aberrants|"6"""|6|5+|-||3|7+|1|32mm||
305|515|1|Purestrain Genestealers|"8"""|4|5+|5||2|7+|1|32mm||
306|516|1|Goliath Truck|"12"""|9|3+|-||10|7+|2|Use model||
307|521|1|Goliath Rockgrinder|"12"""|10|3+|-||10|7+|3|Use model||
308|522|1|Imotekh The Stormlord|"5"""|5|2+|4||6|6+|1|40mm||
309|523|1|Overlord|"5"""|5|2+|4||6|6+|1|40mm||
310|524|1|Lord|"5"""|5|3+|-||4|6+|1|32mm||
311|527|1|Nemesor Zahndrekh|"5"""|5|2+|4||6|7+|1|25mm||
312|528|1|Vargard Obyron|"5"""|5|2+|-||5|6+|1|25mm||
313|530|1|Orikan The Diviner|"5"""|4|4+|4||4|6+|1|40mm||
314|531|1|Anrakyr The Traveller|"5"""|5|2+|4||6|6+|1|25mm||
315|532|1|Trazyn The Infinite|"5"""|5|2+|4||6|6+|1|25mm||
316|533|1|Catacomb Command Barge|"10"""|8|3+|4||9|6+|3|Use model||
317|534|1|Necron Warriors|"5"""|4|4+|-||1|7+|2|32mm||
318|535|1|Immortals|"5"""|5|3+|-||1|7+|2|32mm||
319|536|1|Lychguard|"5"""|5|3+|-||2|7+|1|32mm||
320|537|1|Deathmarks|"5"""|5|3+|-||1|7+|1|32mm||
321|538|1|Flayed Ones|"5"""|4|4+|-||1|7+|1|28.5mm||
322|539|1|Triarch Praetorians|"10"""|5|3+|-||2|7+|1|32mm||
323|540|1|Triarch Stalker|"8"""|8|3+|4||12|7+|4|Use model||
324|541|1|C’tan Shard Of The Nightbringer|"6"""|11|4+|4||12|6+|4|40mm||
325|542|1|C’tan Shard Of The Deceiver|"6"""|11|4+|4||12|6+|6|40mm||
326|543|1|Ghost Ark|"10"""|9|3+|4||14|7+|3|60mm||
327|544|1|Night Scythe|"20+"""|9|3+|-||12|7+|0|120 x 92mm flying base||
328|545|1|Doom Scythe|"20+"""|9|3+|-||12|7+|0|120 x 92mm flying base||
329|546|1|Canoptek Wraiths|"10"""|6|3+|4||4|8+|2|50mm||
330|548|1|Tomb Blades|"12"""|5|4+|-||2|7+|2|32mm flying base||
331|551|1|Canoptek Spyders|"5"""|7|3+|-||6|8+|2|60mm flying base||
332|552|1|Monolith|"8"""|13|2+|-||22|7+|8|160mm||
333|553|1|Annihilation Barge|"10"""|8|3+|4||9|7+|3|Use model||
334|554|1|Doomsday Ark|"10"""|9|3+|4||14|7+|5|60mm flying base||
335|555|1|Transcendent C’tan|"6"""|11|4+|4||12|6+|4|60mm flying base||
336|556|1|Tesseract Vault|"8"""|12|2+|4||24|7+|8|120 x 92mm flying base||
337|557|1|Obelisk|"8"""|13|2+|-||24|7+|8|120 x 92mm flying base||
338|558|1|Canoptek Tomb Stalker|"10"""|9|3+|4||9|8+|3|120 x 92mm||
339|559|1|Canoptek Acanthrites|"12"""|5|3+|-||2|8+|2|40mm||
340|560|1|Canoptek Tomb Sentinel|"10"""|9|3+|4||9|8+|3|120 x 92mm||
