|datasheet_id|line|line_in_wargear|dice|name|description|range|type|A|BS_WS|S|AP|D|Unnamed: 13
21|7|3.0|1||Kustom mega-slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>"|12|Ranged|D3|5|8|-2|D6|
22|7|4.0|1||Rokkit launcha|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|24|Ranged|D3|5|9|-2|3|
23|7|5.0|1||Shokk attack gun|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>"|60|Ranged|D6+1|5|9|-4|D6|
24|7|6.0|1||Slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|5|4|0|1|
25|7|7.0|1||Twin dakkagun|"<a href=""/wh40k10ed/the-rules/core-rules/#Assault"">assault</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|18|Ranged|3|5|5|0|1|
26|7|8.0|1||Big choppa||Melee|Melee|4|3|7|-1|2|
27|7|9.0|1||Choppa||Melee|Melee|4|3|5|-1|1|
28|7|10.0|1||Close combat weapon||Melee|Melee|4|3|5|0|1|
29|7|11.0|1||Killsaw||Melee|Melee|3|4|12|-3|2|
30|7|12.0|1||Power klaw||Melee|Melee|4|4|9|-2|2|
31|8|1.0|1||Mork’s Roar|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 4</a>"|36|Ranged|12|5|5|0|1|
32|8|2.0|1||Gork’s Klaw - strike||Melee|Melee|6|2|14|-3|4|
33|8|3.0|2||Gork’s Klaw - sweep||Melee|Melee|12|2|8|-2|2|
34|8|4.0|1||Makari’s stabba|"<a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>"|Melee|Melee|1|4|3|0|1|
35|9|1.0|1||Da Rippa – standard|"<a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>"|24|Ranged|3|5|7|-2|2|
36|9|2.0|2||Da Rippa – supercharge|"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>"|24|Ranged|3|5|8|-3|3|
37|9|3.0|1||Slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|4|4|0|1|
38|9|4.0|1||Choppa||Melee|Melee|6|2|5|-1|1|
39|10|1.0|1||Slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|5|4|0|1|
40|10|2.0|1||Da Vulcha’s Klaws and choppa||Melee|Melee|6|2|8|-2|2|
41|11|1.0|1||Slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|4|4|0|1|
42|11|2.0|1||Mork’s Teeth|"<a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|Melee|Melee|6|2|6|-1|2|
43|12|1.0|1||Kustom mega-slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>"|12|Ranged|D3|5|8|-2|D6|
44|12|2.0|1||Killsaw||Melee|Melee|1|4|12|-3|2|
45|12|3.0|1||Wrench||Melee|Melee|3|3|4|0|1|
46|13|1.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
47|13|2.0|1||’Urty syringe|"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>"|Melee|Melee|1|3|2|0|1|
48|14|1.0|1||Twin dakkagun|"<a href=""/wh40k10ed/the-rules/core-rules/#Assault"">assault</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|18|Ranged|3|5|5|0|1|
49|14|2.0|1||Killsaw||Melee|Melee|2|4|12|-3|2|
50|14|3.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
51|14|4.0|1||’Urty syringe|"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>"|Melee|Melee|1|3|2|0|1|
52|15|1.0|1||Slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|5|4|0|1|
53|15|2.0|1||Power klaw|"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>"|Melee|Melee|4|3|9|-2|2|
54|15|3.0|1||’Urty syringe|"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>"|Melee|Melee|1|3|2|0|1|
55|16|1.0|1||Big shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>"|36|Ranged|3|5|5|0|1|
56|16|2.0|1||Kombi-weapon|"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>"|24|Ranged|1|5|4|0|1|
57|16|3.0|1||Rokkit launcha|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|24|Ranged|D3|5|9|-2|3|
58|16|4.0|1||Shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>"|18|Ranged|2|5|4|0|1|
59|16|5.0|1||Slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|5|4|0|1|
60|16|6.0|1||Big choppa||Melee|Melee|3|3|7|-1|2|
61|16|7.0|1||Choppa||Melee|Melee|3|3|4|-1|1|
62|16|8.0|1||Close combat weapon||Melee|Melee|2|3|4|0|1|
63|16|9.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
64|17|1.0|1||Grot blasta|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|4|3|0|1|
65|17|2.0|1||Slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|5|4|0|1|
66|17|3.0|1||Close combat weapon||Melee|Melee|1|5|2|0|1|
67|17|4.0|1||Runtherd tools||Melee|Melee|3|3|5|0|1|
68|19|1.0|1||Big shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>"|36|Ranged|3|5|5|0|1|
69|19|2.0|1||Burna|"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>"|12|Ranged|D6||4|0|1|
70|19|3.0|1||Kustom mega-blasta|"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>"|24|Ranged|3|5|9|-2|D6|
71|19|4.0|1||Rokkit launcha|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|24|Ranged|D3|5|9|-2|3|
72|19|5.0|1||Close combat weapon||Melee|Melee|3|3|4|0|1|
73|19|6.0|1||Cuttin’ flames||Melee|Melee|2|4|4|-2|1|
74|20|1.0|1||Rokkit launcha|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|24|Ranged|D3|5|9|-2|3|
75|20|2.0|1||Rokkit pistol|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|5|9|-2|3|
76|20|3.0|1||Choppa||Melee|Melee|4|3|5|-1|1|
77|20|4.0|1||Close combat weapon||Melee|Melee|3|3|5|0|1|
78|20|5.0|1||Smash hammer|"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-monster 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-vehicle 4+</a>"|Melee|Melee|2|3|6|-2|3|
79|21|1.0|1||Kombi-weapon|"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>"|24|Ranged|1|5|4|0|1|
80|21|2.0|1||Slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|5|4|0|1|
81|21|3.0|1||Big choppa||Melee|Melee|3|3|7|-1|2|
82|21|4.0|1||Close combat weapon||Melee|Melee|3|3|5|0|1|
83|21|5.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
84|22|1.0|1||Kustom shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>"|18|Ranged|4|5|4|0|1|
85|22|2.0|1||Waaagh! banner||Melee|Melee|3|3|8|-2|2|
86|23|1.0|1||Slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|5|4|0|1|
87|23|2.0|1||Twin dakkagun|"<a href=""/wh40k10ed/the-rules/core-rules/#Assault"">assault</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|18|Ranged|3|5|5|0|1|
88|23|3.0|1||Big choppa||Melee|Melee|3|3|7|-1|2|
89|23|4.0|1||Choppa||Melee|Melee|3|3|5|-1|1|
90|23|5.0|1||Close combat weapon||Melee|Melee|3|3|5|0|1|
91|23|6.0|1||Killsaw||Melee|Melee|2|4|12|-3|2|
92|23|7.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
93|23|8.0|1||Power stabba|"<a href=""/wh40k10ed/the-rules/core-rules/#Lance"">lance</a>"|Melee|Melee|3|4|8|-1|2|
94|24|1.0|1||Kombi-weapon|"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>"|24|Ranged|1|5|4|0|1|
95|24|2.0|1||Kustom shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>"|18|Ranged|4|5|4|0|1|
96|24|3.0|1||Killsaw||Melee|Melee|2|4|12|-3|2|
97|24|4.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
98|24|5.0|1||Twin killsaw|"<a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|Melee|Melee|2|4|12|-3|2|
99|25|1.0|1||Burna|"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>"|12|Ranged|D6||4|0|1|
100|25|2.0|1||Speshul Kommando shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>"|18|Ranged|4|5|4|0|1|
101|25|3.0|1||Rokkit launcha|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|24|Ranged|D3|5|9|-2|3|
102|25|4.0|1||Slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|5|4|0|1|
103|25|5.0|1||Big choppa||Melee|Melee|4|3|7|-1|2|
104|25|6.0|1||Breacha ram||Melee|Melee|2|4|9|-2|2|
105|25|7.0|1||Choppa||Melee|Melee|3|3|4|-1|1|
106|25|8.0|1||Close combat weapon||Melee|Melee|2|3|4|0|1|
107|25|9.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
108|26|1.0|1||Big shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>"|36|Ranged|3|5|5|0|1|
109|26|2.0|1||Spiked wheels||Melee|Melee|3|4|6|0|1|
110|26|3.0|1||Wreckin’ ball|"<a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>"|Melee|Melee|1|4|10|0|D6|
111|27|1.0|1||Slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|5|4|0|1|
112|27|2.0|1||Choppa||Melee|Melee|3|3|4|-1|1|
113|27|3.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
114|28|1.0|1||Kopta rokkits|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|24|Ranged|D3|5|9|-2|3|
115|28|2.0|1||Kustom mega-blasta|"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>"|24|Ranged|3|5|9|-2|D6|
116|28|3.0|1||Slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|5|4|0|1|
117|28|4.0|1||Spinnin’ blades||Melee|Melee|6|3|5|0|1|
118|29|1.0|1||Twin supa-shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|36|Ranged|4|5|6|-1|1|
119|29|2.0|1||Armoured hull||Melee|Melee|3|4|6|0|1|
120|30|1.0|1||Twin big shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|36|Ranged|3|5|5|0|1|
121|30|2.0|1||Twin supa-shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|36|Ranged|4|5|6|-1|1|
122|30|3.0|1||Skorcha missile rack|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>"|36|Ranged|2D6|5|5|-1|1|
123|30|4.0|1||Armoured hull||Melee|Melee|3|4|6|0|1|
124|31|1.0|1||Big shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>"|36|Ranged|3|5|5|0|1|
125|31|2.0|1||Twin supa-shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|36|Ranged|4|5|6|-1|1|
126|31|3.0|1||Armoured hull||Melee|Melee|3|4|6|0|1|
127|32|1.0|1||Smasha gun|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|48|Ranged|D3|4|9|-3|4|
128|32|2.0|1||Twin wazbom mega-kannon|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|36|Ranged|D3|4|12|-2|D6|
129|32|3.0|1||Twin supa-shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|36|Ranged|4|4|6|-1|1|
130|32|4.0|1||Twin tellyport mega-blasta|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|24|Ranged|3|5|9|-1|D6+1|
131|32|5.0|1||Armoured hull||Melee|Melee|3|4|6|0|1|
132|33|1.0|1||Slugga|"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>"|12|Ranged|1|5|4|0|1|
133|33|2.0|1||Twin dakkagun|"<a href=""/wh40k10ed/the-rules/core-rules/#Assault"">assault</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|18|Ranged|3|5|5|0|1|
134|33|3.0|1||Big choppa||Melee|Melee|3|3|7|-1|2|
135|33|4.0|1||Choppa||Melee|Melee|3|3|4|-1|1|
136|33|5.0|1||Close combat weapon||Melee|Melee|2|3|4|0|1|
137|33|6.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
138|34|1.0|1||Rack of rokkits|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|24|Ranged|D3+1|5|9|-2|3|
139|34|2.0|1||Twin big shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|36|Ranged|3|5|5|0|1|
140|34|3.0|1||Spiked wheel||Melee|Melee|2|4|6|0|1|
141|35|1.0|1||Skorcha|"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>"|12|Ranged|D6||5|-1|1|
142|35|2.0|1||Spiked wheel||Melee|Melee|2|4|6|0|1|
143|36|1.0|1||Rack of rokkits|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|24|Ranged|D3+1|5|9|-2|3|
144|36|2.0|1||Twin big shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>"|36|Ranged|3|5|5|0|1|
145|36|3.0|1||Spiked wheels||Melee|Melee|3|4|6|0|1|
146|37|1.0|1||Kannon – frag|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>"|36|Ranged|D6|6|5|0|1|
147|37|2.0|2||Kannon – shell|"<a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>"|36|Ranged|1|6|9|-2|D6|
148|37|3.0|1||Lobba|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Indirect-Fire"">indirect fire</a>"|48|Ranged|D6|6|5|0|1|
149|37|4.0|1||Zzap gun|"<a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>"|36|Ranged|1|6|2D6|-3|3|
150|37|5.0|1||Close combat weapons||Melee|Melee|2|3|4|0|1|
151|38|1.0|1|1-2 |Bubblechukka – big bubble|"bubblechukka, <a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|48|Ranged|2D6|4|6|-1|1|
152|38|2.0|2|3-4 |Bubblechukka – wobbly bubble|"bubblechukka, <a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|48|Ranged|D6|4|9|-2|3|
153|38|3.0|3|5-6|Bubblechukka – dense bubble|"bubblechukka, <a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|48|Ranged|D3|4|12|-3|D6+3|
154|38|4.0|1||Kustom mega-kannon|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">BLAST</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">HAZARDOUS</a>"|36|Ranged|D6|4|12|-1|D6|
155|38|5.0|1||Smasha gun|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">BLAST</a>"|48|Ranged|D3+1|4|9|-3|3|
156|38|6.0|1||Traktor kannon|"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">ANTI-FLY 2+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">DEVASTATING WOUNDS</a>"|48|Ranged|1|4|10|-2|D6+1|
157|38|7.0|1||Grot crew||Melee|Melee|6|5|2|0|1|
158|39|1.0|1||Big shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>"|36|Ranged|3|5|5|0|1|
159|39|2.0|1||Kannon – frag|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|36|Ranged|D6+3|5|6|0|1|
160|39|3.0|2||Kannon – shell||36|Ranged|1|5|10|-2|D6|
161|39|4.0|1||Killkannon||24|Ranged|D6+1|5|9|-2|2|
162|39|5.0|1||Lobba|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Indirect-Fire"">indirect fire</a>"|48|Ranged|D6|5|5|0|1|
163|39|6.0|1||Zzap gun|"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-vehicle 4+</a>"|36|Ranged|1|5|D6+6|-3|5|
164|39|7.0|1||Deff rolla||Melee|Melee|6|3|9|-1|2|
165|39|8.0|1||Grabbin’ klaw|"<a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>"|Melee|Melee|2|3|8|-2|2|
166|39|9.0|1||Tracks and wheels||Melee|Melee|6|4|8|0|1|
167|39|10.0|1||Wreckin’ ball|"<a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>"|Melee|Melee|1|4|10|0|D6|
168|40|1.0|1||Big shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>"|36|Ranged|3|5|5|0|1|
169|40|2.0|1||Kustom mega-blasta|"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>"|24|Ranged|3|5|9|-2|D6|
170|40|3.0|1||Rokkit launcha|"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>"|24|Ranged|D3|5|9|-2|3|
171|40|4.0|1||Skorcha|"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>"|12|Ranged|D6||5|-1|1|
172|40|5.0|1||Dread klaw|dead choppy|Melee|Melee|4|3|12|-2|3|
173|40|6.0|1||Stompy feet||Melee|Melee|4|3|5|0|1|
174|41|1.0|1||Kan shoota|"<a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>"|36|Ranged|3|4|5|0|1|
