|faction_id|name|id|type|cp_cost|legend|turn|phase|detachment|detachment_id|description|Unnamed: 11
10||PIVOTAL MOMENT|10251002|Challenger – Strategic Ploy Stratagem|0.0|The outcome of the battle hangs in the balance. This is the time to strike hard and without mercy.|Your turn|Movement phase|||"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>.<br><br><b>TARGET:</b> One unit from your army.<br><br><b>EFFECT:</b> Until the end of the turn, your unit is eligible to shoot and <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">declare a charge</a> in a turn in which it <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advanced</a> or <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fell Back</a>."|
11||OPPORTUNISTIC STRIKE|10248002|Challenger – Strategic Ploy Stratagem|0.0|Taking advantage of the foe’s exposed position, these warriors launch a well-timed attack.|Your turn|Shooting phase|||"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One unit from your army that is not within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of one or more enemy units.<br><br><b>EFFECT:</b> Select one enemy unit that is not within Engagement Range of one or more units from your army and is within 6"" of and <a href=""/wh40k10ed/the-rules/core-rules/#Determining-Visibility"">visible</a> to your unit. Roll six D6: for each 4+, that enemy unit suffers 1 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>."|
12||ALL IN|10254002|Challenger – Strategic Ploy Stratagem|0.0|The time has come to commit your forces. Order your soldiers forward, pursue the foe and cut them down without mercy. Victory or death!|Your turn|Fight phase|||"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One unit from your army that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes a <a href=""/wh40k10ed/the-rules/core-rules/#1.-Pile-In"">Pile-in</a> or <a href=""/wh40k10ed/the-rules/core-rules/#3.-Consolidate"">Consolidation move</a>, it can move up to 6"" instead of up to 3"". In addition, it does not need to end that move closer to the closest enemy model, provided it ends it as close as possible to the closest enemy unit."|
13||HARBOURED POWER|10253002|Challenger – Wargear Stratagem|0.0|Overcharged power packs, experimental ammunition, potent combat stimms or sorcerous might: these assets may be expended in the pursuit of victory.|Your turn|Shooting or Fight phase|||"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a> or your <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One unit from your army that has not been selected to shoot or fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, weapons equipped by models in your unit have the <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">[HAZARDOUS]</a></span> ability and your choice of the <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Lethal-Hits"">[LETHAL HITS]</a></span> or <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">[SUSTAINED HITS 1]</a></span> ability."|
14||COMMAND RE-ROLL|8335002|Core – Battle Tactic Stratagem|1.0|A great commander can bend even the vagaries of fate and fortune to their will, the better to ensure victory.|Either player’s turn|Any phase|||"<b>WHEN:</b> Any phase, just after you make an <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advance roll</a>, a <a href=""/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit"">Charge roll</a>, a <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Desperate Escape test</a> or a <a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">Hazardous test</a> for a unit from your army, or a <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>, a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a>, a Damage roll or a <a href=""/wh40k10ed/the-rules/core-rules/#4.-Saving-Throw"">saving throw</a> for a model in that unit, or a roll to determine the number of attacks made with a weapon equipped by a model in that unit. If you are using <a href=""/wh40k10ed/the-rules/core-rules/#Fast-Dice-Rolling"">fast dice rolling</a>, this Stratagem can still be used after rolling multiple rolls or saving throws at once.<br><br><b>TARGET:</b> That unit or model from your army.<br><br><b>EFFECT:</b> You <a href=""/wh40k10ed/the-rules/core-rules/#Re-rolls"">re-roll</a> that roll, test or saving throw. If you are using fast dice rolling, select one of those rolls or saving throws to re-roll."|
15||GO TO GROUND|8335010|Core – Battle Tactic Stratagem|1.0|Seeking salvation from incoming fire, warriors hurl themselves into whatever cover they can find.|Opponent’s turn|Shooting phase|||"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""kwb"">INFANTRY</span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, all models in your unit have a 6+ <a href=""/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves"">invulnerable save</a> and have the <a href=""/wh40k10ed/the-rules/core-rules/#Benefit-of-Cover"">Benefit of Cover</a>."|
16||EPIC CHALLENGE|8335004|Core – Epic Deed Stratagem|1.0|The legends of the 41st Millennium are replete with deadly duels between mighty champions.|Either player’s turn|Fight phase|||"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, when a <span class=""kwb"">CHARACTER</span> unit from your army that is within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of one or more <a href=""/wh40k10ed/the-rules/core-rules/#Attached-Units"">Attached units</a> is selected to fight.<br><br><b>TARGET:</b> One <span class=""kwb"">CHARACTER</span> model in your unit.<br><br><b>EFFECT:</b> Until the end of the phase, all melee attacks made by that model have the <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Precision"">[PRECISION]</a></span> ability."|
17||INSANE BRAVERY|8335005|Core – Epic Deed Stratagem|1.0|Indifferent to their own survival, these warriors hold their ground against seemingly impossible odds.|Your turn|Command phase|||"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shock</a> step of your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>, just before you take a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shock test</a> for a unit from your army.<br><br><b>TARGET:</b> That unit from your army.<br><br><b>EFFECT:</b> Your unit automatically passes that Battle-shock test.<br><br><b>RESTRICTIONS:</b> You cannot use this Stratagem more than once per battle."|
18||COUNTER-OFFENSIVE|8335003|Core – Strategic Ploy Stratagem|2.0|In close-quarters combat, the slightest hesitation can leave an opening for a swift foe to exploit.|Either player’s turn|Fight phase|||"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after an enemy unit has fought.<br><br><b>TARGET:</b> One unit from your army that is within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of one or more enemy units and that has not already been selected to fight this phase.<br><br><b>EFFECT:</b> Your unit fights next."|
19||TANK SHOCK|8335007|Core – Strategic Ploy Stratagem|1.0|Ramming the foe with a speeding vehicle may be an unsubtle tactic, but it is a murderously effective one.|Your turn|Charge phase|||"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">Charge phase</a>, just after a <span class=""kwb"">VEHICLE</span> unit from your army ends a Charge move.<br><br><b>TARGET:</b> That <span class=""kwb"">VEHICLE</span> unit.<br><br><b>EFFECT:</b> Select one enemy unit within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of your unit, and select one <span class=""kwb"">VEHICLE</span> model in your unit that is within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of that enemy unit. Roll a number of D6 equal to the Toughness characteristic of the selected <span class=""kwb"">VEHICLE</span> model. For each 5+, that enemy unit suffers 1 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a> (to a maximum of 6 mortal wounds)."|
20||RAPID INGRESS|8335008|Core – Strategic Ploy Stratagem|1.0|Be it cunning strategy, potent technology or supernatural ritual, there are many means by which a commander may hasten their warriors’ onset.|Opponent’s turn|Movement phase|||"<b>WHEN:</b> End of your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>.<br><br><b>TARGET:</b> One unit from your army that is in <a href=""/wh40k10ed/the-rules/core-rules/#2.-Reinforcements"">Reserves</a>.<br><br><b>EFFECT:</b> Your unit can arrive on the battlefield as if it were the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Reinforcements"">Reinforcements step</a> of your Movement phase, and if every model in that unit has the <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Deep Strike</a> ability, you can set that unit up as described in the Deep Strike ability (even though it is not your Movement phase).<br><br><b>RESTRICTIONS:</b> You cannot use this Stratagem to enable a unit to arrive on the battlefield during a <a href=""/wh40k10ed/the-rules/core-rules/#The-Battle-Round"">battle round</a> it would not normally be able to do so in."|
21||FIRE OVERWATCH|8335009|Core – Strategic Ploy Stratagem|1.0|A hail of wildfire can drive back advancing foes.|Opponent’s turn|Movement or Charge phase|||"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement</a> or <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">Charge phase</a>, just after an enemy unit is set up or when an enemy unit starts or ends a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advance</a> or <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fall Back move</a>, or <a href=""/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit"">declares a charge</a>.<br><br><b>TARGET:</b> One unit from your army that is within 24"" of that enemy unit and that would be eligible to shoot if it were your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>EFFECT:</b> If that enemy <a href=""/wh40k10ed/the-rules/core-rules/#Unit-Visible"">unit is visible</a> to your unit, your unit can shoot that enemy unit as if it were your Shooting phase.<br><br><b>RESTRICTIONS:</b> You cannot target a <span class=""kwb"">TITANIC</span> unit with this Stratagem. Until the end of the phase, each time a model in your unit makes a ranged attack, an unmodified <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> of 6 is required to score a hit, irrespective of the attacking weapon’s Ballistic Skill or any modifiers. You can only use this Stratagem once per turn."|
22||HEROIC INTERVENTION|8335012|Core – Strategic Ploy Stratagem|1.0|Voices raised in furious war cries, your warriors surge forth to meet the enemy’s onslaught head-on.|Opponent’s turn|Charge phase|||"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">Charge phase</a>, just after an enemy unit ends a <a href=""/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit"">Charge move</a>.<br><br><b>TARGET:</b> One unit from your army that is within 6"" of that enemy unit and would be eligible to declare a charge against that enemy unit if it were your Charge phase.<br><br><b>EFFECT:</b> Your unit now declares a charge that targets only that enemy unit, and you resolve that charge as if it were your Charge phase.<br><br><b>RESTRICTIONS:</b> You can only select a <span class=""kwb"">VEHICLE</span> unit from your army if it is a <span class=""kwb"">WALKER</span>. Note that even if this charge is successful, your unit does not receive any <a href=""/wh40k10ed/the-rules/core-rules/#Charge-Bonus"">Charge bonus</a> this turn."|
23||GRENADE|8335006|Core – Wargear Stratagem|1.0|Priming their hand-held projectiles, these warriors draw back and hurl death into the enemy’s midst.|Your turn|Shooting phase|||"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">GRENADES</span> unit from your army (excluding units that Advanced, Fell Back or have shot this turn) that is not within Engagement Range of one or more enemy units.<br><br><b>EFFECT:</b> Select one <span class=""kwb"">GRENADES</span> model in your unit and one enemy unit that is not within Engagement Range of any units from your army and is within 8"" of and visible to your <span class=""kwb"">GRENADES</span> model. Roll six D6: for each 4+, that enemy unit suffers 1 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>."|
24||SMOKESCREEN|8335011|Core – Wargear Stratagem|1.0|Even the most skilled marksmen struggle to hit targets veiled by billowing screens of smoke.|Opponent’s turn|Shooting phase|||"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""kwb"">SMOKE</span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, all models in your unit have the <a href=""/wh40k10ed/the-rules/core-rules/#Benefit-of-Cover"">Benefit of Cover</a> and the <a href=""/wh40k10ed/the-rules/core-rules/#_STEALTH"">Stealth</a> ability."|
25||NEW ORDERS|8539002|Core Stratagem – Strategic Ploy Stratagem|1.0|High command has received new intelligence.|Your turn|Command phase|||"<b>WHEN:</b> End of your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>.<br><br><b>TARGET:</b> One of your active Secondary Mission cards.<br><br><b>EFFECT:</b> Discard it and draw one new Secondary Mission card.<br><br><b>RESTRICTIONS:</b> You can only use this Stratagem once per battle.<br>"|
26||NEW ORDERS|9063002|Core Stratagem – Strategic Ploy Stratagem|1.0|High command has received new intelligence.|Your turn|Command phase|||"<b>WHEN:</b> End of your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>.<br><br><b>TARGET:</b> One of your active Secondary Mission cards.<br><br><b>EFFECT:</b> Discard it and draw one new Secondary Mission card.<br>"|
27||NEW ORDERS|10245002|Core Stratagem – Strategic Ploy Stratagem|1.0|High command has received new intelligence.|Your turn|Command phase|||"<b>WHEN:</b> End of your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>.<br><br><b>TARGET:</b> One of your active Secondary Mission cards.<br><br><b>EFFECT:</b> Discard it and draw one new Secondary Mission card.<br>"|
28|AC|SHOULDER THE MANTLE|8931007|Auric Champions – Epic Deed Stratagem|1.0|The greatest Custodians know when it is both their duty and their right to command their comrades.|Your turn|Movement phase|Auric Champions|863.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>, before the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Reinforcements"">Reinforcements step</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00641"" data-tooltip-content=""#tooltip_content00641"" data-tooltip-anchor=""#tooltip_content00641""><span class=""kwb"">ADEPTUS</span> <span class=""kwb"">CUSTODES</span> <span class=""kwb"">CHARACTER</span></span> model from your army that is not leading a unit.<br><br><b>EFFECT:</b> Select one friendly unit (excluding <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shocked</a> and <a href=""/wh40k10ed/the-rules/core-rules/#Attached-Units"">Attached</a> units) within 2"" horizontally and 5"" vertically of your model that it could lead (as described in the Leader section of its <a href=""/wh40k10ed/the-rules/core-rules/#Datasheets-1"">datasheet</a>). Your model attaches to that unit as a Leader. Change that unit’s <a href=""/wh40k10ed/the-rules/core-rules/#Starting-Strength"">Starting Strength</a> accordingly."|
29|AC|VIGIL UNENDING|8931006|Auric Champions – Epic Deed Stratagem|2.0|The Custodes do not yield while their duty remains unfulfilled.|Either player’s turn|Fight phase|Auric Champions|863.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00641"" data-tooltip-content=""#tooltip_content00641"" data-tooltip-anchor=""#tooltip_content00641""><span class=""kwb"">ADEPTUS</span> <span class=""kwb"">CUSTODES</span> <span class=""kwb"">CHARACTER</span></span> model from your army that was just <a href=""/wh40k10ed/the-rules/core-rules/#Destroyed"">destroyed</a> and has not fought this phase. You can use this Stratagem on that unit even though it was just destroyed.<br><br><b>EFFECT:</b> Do not remove your destroyed model from play. The destroyed model can fight after the attacking unit has finished <a href=""/wh40k10ed/the-rules/core-rules/#Making-Attacks"">making attacks</a>, and is then removed from play."|
30|AC|EARNING OF A NAME|8931005|Auric Champions – Epic Deed Stratagem|1.0|To lay low the greatest and most terrible monsters and heretics is to earn new names for a Custodian's mighty tally.|Either player’s turn|Fight phase|Auric Champions|863.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> Up to two <span class=""tooltip00641"" data-tooltip-content=""#tooltip_content00641"" data-tooltip-anchor=""#tooltip_content00641""><span class=""kwb"">ADEPTUS</span> <span class=""kwb"">CUSTODES</span> <span class=""kwb"">CHARACTER</span></span> units from your army that have not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a <span class=""kwb"">CHARACTER</span> model in either of your units makes an attack that targets a <span class=""kwb"">MONSTER</span> or <span class=""kwb"">VEHICLE</span> unit, you can re-roll the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> and you can re-roll the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a>."|
31|AC|SUPERHUMAN RESERVES|8931003|Auric Champions – Epic Deed Stratagem|2.0|With practiced ease, the Talons of the Emperor establish vicious crossfires to cut the foe apart.|Either player’s turn|Any phase|Auric Champions|863.0|"<b>WHEN:</b> Any phase, just after an <span class=""tooltip00456"" data-tooltip-content=""#tooltip_content00456"" data-tooltip-anchor=""#tooltip_content00456""><span class=""kwb"">ADEPTUS</span> <span class=""kwb"">CUSTODES</span> <span class=""kwb"">WARLORD</span></span> model from your army has used an ability on its datasheet or from an Enhancement that says it can only be used Once per battle.<br><br><b>TARGET:</b> That <span class=""tooltip00704"" data-tooltip-content=""#tooltip_content00704"" data-tooltip-anchor=""#tooltip_content00704""><span class=""kwb"">ADEPTUS</span> <span class=""kwb"">CUSTODES</span> <span class=""kwb"">WARLORD</span></span> model.<br><br><b>EFFECT:</b> Your model can use its Once per battle’ ability one additional time during this battle (but not in the same phase).<br><br><b>RESTRICTIONS:</b> You cannot use this Stratagem more than once per battle."|
32|AC|SLAYER OF CHAMPIONS|8931002|Auric Champions – Epic Deed Stratagem|1.0|Whatfoe can withstand a warrior who has so tested the defences of the Throneworld itself?|Either player’s turn|Any phase|Auric Champions|863.0|"<b>WHEN:</b> Any phase.<br><br><b>TARGET:</b> One <span class=""tooltip00641"" data-tooltip-content=""#tooltip_content00641"" data-tooltip-anchor=""#tooltip_content00641""><span class=""kwb"">ADEPTUS</span> <span class=""kwb"">CUSTODES</span> <span class=""kwb"">CHARACTER</span></span> unit from your army that has just <a href=""/wh40k10ed/the-rules/core-rules/#Destroyed"">destroyed</a> the unit you selected at the start of your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a> as the target of your <span class=""tooltip00705"" data-tooltip-content=""#tooltip_content00705""><span class=""tt kwbu"">Assemblage</span> <span class=""tt kwbu"">of</span> <span class=""tt kwbu"">Might</span></span> ability.<br><br><b>EFFECT:</b> Select one enemy unit on the battlefield Until the start of your next Command phase, each time an <span class=""kwb"">ADEPTUS</span> <span class=""kwb"">CUSTODES</span> <span class=""kwb"">CHARACTER</span> model from your army makes an attack that target that enemy unit, add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a> In addition, if the destroyed unit was a <span class=""kwb"">CHARACTER</span> unit, gain 1CP."|
